year,model,positives,candidates,average_precision,roc_auc,recall_at_5pct
2022,Distance kernel,109,1468,0.3208980786682838,0.8650012488945596,0.3486238532110092
2022,Cook-2021 kernel,109,1468,0.5339250636700889,0.8934456663358784,0.46788990825688076
2022,Fisher-KPP,109,1468,0.5161477820262331,0.8879167763668645,0.44036697247706424
2022,Climate RD,109,1468,0.5369260490116278,0.8901445342298372,0.46788990825688076
2022,Transport RD,109,1468,0.5282799493142941,0.8897057334386455,0.45871559633027525
2022,Full mechanistic,109,1468,0.5384933222041923,0.8886593623211887,0.45871559633027525
2022,Reporting surface,109,1468,0.2604675169907247,0.6933997610223384,0.24770642201834864
2022,Covariate hazard,109,1468,0.5164265563139301,0.8847236567632704,0.46788990825688076
2022,OG-RDE,109,1468,0.5366188599706636,0.8873227076034053,0.45871559633027525
2022,OG-RDE + reporting,109,1468,0.5284706363952073,0.8875589849525082,0.45871559633027525
2022,OG-RDE + transport,109,1468,0.5307140079339948,0.8909580033888924,0.45871559633027525
2023,Distance kernel,109,1359,0.3001215098336366,0.8863229357798165,0.26605504587155965
2023,Cook-2021 kernel,109,1359,0.5321040762773172,0.9187376146788991,0.3669724770642202
2023,Fisher-KPP,109,1359,0.5454300773379063,0.919559633027523,0.3761467889908257
2023,Climate RD,109,1359,0.5499702992209037,0.9216,0.3761467889908257
2023,Transport RD,109,1359,0.5452090542684845,0.9210128440366973,0.3577981651376147
2023,Full mechanistic,109,1359,0.514821884393504,0.9123155963302753,0.3577981651376147
2023,Reporting surface,109,1359,0.22634512178010446,0.6840587155963301,0.1651376146788991
2023,Covariate hazard,109,1359,0.5323838844033983,0.9207412844036695,0.3761467889908257
2023,OG-RDE,109,1359,0.5287913943708281,0.9221871559633027,0.3486238532110092
2023,OG-RDE + reporting,109,1359,0.5209957062513318,0.9190899082568807,0.3486238532110092
2023,OG-RDE + transport,109,1359,0.5346547958829382,0.9207963302752293,0.3577981651376147
2024,Distance kernel,110,1250,0.2753177100910622,0.8418580542264753,0.2
2024,Cook-2021 kernel,110,1250,0.43532236977501365,0.8609888357256779,0.2818181818181818
2024,Fisher-KPP,110,1250,0.4638341504997694,0.867543859649123,0.3
2024,Climate RD,110,1250,0.4690286929679064,0.8684609250398725,0.2909090909090909
2024,Transport RD,110,1250,0.4778478961058689,0.8706539074960128,0.3181818181818182
2024,Full mechanistic,110,1250,0.4455702347196303,0.8636921850079744,0.3090909090909091
2024,Reporting surface,110,1250,0.20520460023450848,0.6536483253588516,0.18181818181818182
2024,Covariate hazard,110,1250,0.4866701572119878,0.879712918660287,0.3181818181818182
2024,OG-RDE,110,1250,0.47869375874504383,0.8799441786283893,0.32727272727272727
2024,OG-RDE + reporting,110,1250,0.48567825448177676,0.8803748006379586,0.33636363636363636
2024,OG-RDE + transport,110,1250,0.5028133442963055,0.8790829346092505,0.3090909090909091
2025,Distance kernel,139,1140,0.28751932766506255,0.8057266474532662,0.08633093525179857
2025,Cook-2021 kernel,139,1140,0.4576847404173997,0.8668381977734495,0.18705035971223022
2025,Fisher-KPP,139,1140,0.48028048213661984,0.8530677955138387,0.2158273381294964
2025,Climate RD,139,1140,0.4798345386446426,0.8542464729515089,0.2158273381294964
2025,Transport RD,139,1140,0.48180727223693887,0.8557988773816112,0.23741007194244604
2025,Full mechanistic,139,1140,0.47757791274199396,0.8446230028963841,0.2589928057553957
2025,Reporting surface,139,1140,0.24065619050707845,0.6620358059206979,0.15827338129496402
2025,Covariate hazard,139,1140,0.5394957390082911,0.8692171138214304,0.2589928057553957
2025,OG-RDE,139,1140,0.5389739108693883,0.8691093079582288,0.26618705035971224
2025,OG-RDE + reporting,139,1140,0.531108931328947,0.8675137811828459,0.26618705035971224
2025,OG-RDE + transport,139,1140,0.5079637084921844,0.8639669682835152,0.23741007194244604
2026,Distance kernel,24,1001,0.05842916985576459,0.7803863868986695,0.25
2026,Cook-2021 kernel,24,1001,0.14472815096259203,0.8164022517911975,0.25
2026,Fisher-KPP,24,1001,0.17164189278942213,0.8309024223814397,0.2916666666666667
2026,Climate RD,24,1001,0.16231273817734956,0.8310303650631184,0.25
2026,Transport RD,24,1001,0.202372540418928,0.8306465370180826,0.2916666666666667
2026,Full mechanistic,24,1001,0.19746011862585156,0.8397731149778233,0.3333333333333333
2026,Reporting surface,24,1001,0.09461322634934498,0.7312350733538042,0.25
2026,Covariate hazard,24,1001,0.17857955784473628,0.8436113954281815,0.4166666666666667
2026,OG-RDE,24,1001,0.15811394172115445,0.845871716137837,0.4583333333333333
2026,OG-RDE + reporting,24,1001,0.1543887910778736,0.8459143636983965,0.4166666666666667
2026,OG-RDE + transport,24,1001,0.17491460124169428,0.839687819856704,0.4166666666666667
