reference,competitor,mean_delta_ap,delta_low,delta_high,probability_reference_better,pairedBlockYears,uniqueGeographicBlocks
Eco-RD,Distance kernel,0.16358023631722982,0.10922081463715183,0.2218494965854615,1.0,31,17
Eco-RD,Ruzzier-2025 transfer,0.021653827536792306,-0.03381055607296233,0.06993024918530737,0.81,31,17
Eco-RD,OG-RDE,0.02100769760404605,0.002804765668503401,0.04267985157314614,0.9916,31,17
Eco-RD,Covariate hazard,0.012291902734400261,-0.0024621699050614847,0.028398550415072474,0.948,31,17
Eco-RD,Cook-2021 kernel,0.0021048510606739507,-0.037360854204288106,0.03316398904648115,0.5916,31,17
Eco-RD,Full mechanistic,-0.0037073164032636052,-0.04220017604693514,0.02356996532145155,0.4648,31,17
Eco-RD,Fisher-KPP,-0.01099895340057471,-0.04671451836097213,0.014323634191413338,0.314,31,17
Eco-RD,Climate RD,-0.013629786197944454,-0.048458203461805474,0.010809640982609205,0.2416,31,17
Eco-RD,Transport RD,-0.015324689214513087,-0.05215713112297005,0.012408237865925214,0.1952,31,17
