reference,competitor,mean_delta_ap,delta_low,delta_high,probability_reference_better,pairedBlockYears,uniqueGeographicBlocks
OG-RDE,Distance kernel,0.14257253871318382,0.0872890124621928,0.20453270867801943,1.0,31,17
OG-RDE,Ruzzier-2025 transfer,0.0006461299327462497,-0.06478069292693274,0.05501824825383351,0.5292,31,17
OG-RDE,Covariate hazard,-0.008715794869645788,-0.025775591635596375,0.003164098876600973,0.1084,31,17
OG-RDE,Cook-2021 kernel,-0.0189028465433721,-0.056275062497836065,0.009525883562235346,0.136,31,17
OG-RDE,Eco-RD,-0.02100769760404605,-0.04267985157314614,-0.0028047656685033996,0.0084,31,17
OG-RDE,Full mechanistic,-0.024715014007309657,-0.06416984629778553,0.008082335837999324,0.0792,31,17
OG-RDE,Fisher-KPP,-0.03200665100462076,-0.06938815720699937,-0.0017329468280283403,0.0196,31,17
OG-RDE,Climate RD,-0.034637483801990505,-0.06999601430346886,-0.007138235520270984,0.0028,31,17
OG-RDE,Transport RD,-0.03633238681855914,-0.0719305310976909,-0.008809633411353164,0.0004,31,17
