diffusion,growth,hostFloor,climateFloor,hostPower,climatePower,ap_2019,ap_2020,ap_2021,ap_2022,ap_2023,mean_average_precision,worst_year_average_precision
0.28,0.13,0.15,0.15,1.6,1.6,0.7218072420470005,0.6830621706189779,0.596435182454682,0.5345862965269076,0.5511429627545144,0.6174067708804165,0.5345862965269076
0.28,0.13,0.0,0.15,1.6,1.6,0.7314231277332467,0.6781264069301518,0.5962909934312354,0.5315504708289078,0.5495704739343736,0.6173922945715831,0.5315504708289078
0.28,0.13,0.35,0.15,1.6,1.6,0.7133893950401199,0.6938024674780499,0.5926158141564783,0.5356026763556532,0.5513973299124239,0.6173615365885451,0.5356026763556532
0.28,0.13,0.0,0.15,1.0,0.6,0.7182667764179623,0.6903835932640471,0.5962345825997961,0.5277007269411793,0.5537956545756331,0.6172762667597235,0.5277007269411793
0.28,0.13,0.0,0.15,0.6,0.6,0.7131545569706816,0.6939790453868977,0.593147545907011,0.5320693963525296,0.5540160680787641,0.6172733225391768,0.5320693963525296
0.28,0.13,0.35,0.15,1.0,1.6,0.7049424917094312,0.6934804467692557,0.5939605367197457,0.5413047831186535,0.552241600947678,0.6171859718529527,0.5413047831186535
0.28,0.13,0.15,0.15,0.6,1.6,0.6996766873076941,0.6957573640276314,0.5932093376655835,0.542297889191981,0.5543348471099395,0.6170552250605659,0.542297889191981
0.28,0.24,0.15,0.15,1.6,0.6,0.7375682332173081,0.6822332244833238,0.5931270806398505,0.5223992773107472,0.5496920884627746,0.617003980822801,0.5223992773107472
0.28,0.24,0.0,0.35,1.6,1.6,0.7443006525117122,0.676705836581869,0.5942377864016188,0.529053816409406,0.5406397617642111,0.6169875707337635,0.529053816409406
0.28,0.13,0.35,0.15,1.6,1.0,0.713531455164245,0.6919317136055425,0.5950806642707537,0.532678227564679,0.5516588334973779,0.6169761788205197,0.532678227564679
0.28,0.13,0.0,0.35,0.6,0.6,0.7130852066748835,0.6947048011383798,0.5925482169893419,0.5307498356703266,0.5536466880407999,0.6169469497027464,0.5307498356703266
0.28,0.13,0.0,0.0,1.6,1.6,0.7299749077686536,0.6781695008751194,0.5933758142786124,0.5346376821912894,0.5485724099905096,0.6169460630208369,0.5346376821912894
0.28,0.13,0.15,0.15,1.0,0.6,0.7143305658650483,0.6913693108960087,0.5950174278004562,0.5303397173466914,0.5530875964483485,0.6168289236713107,0.5303397173466914
0.28,0.13,0.15,0.0,1.6,1.0,0.7233512577071832,0.6836702318991493,0.5957465204549264,0.5300398809850693,0.5513059512881546,0.6168227684668965,0.5300398809850693
0.19,0.24,0.0,0.0,1.0,1.6,0.7252095870232123,0.6715320895613296,0.5891678697259917,0.5452424168272655,0.5528486138678828,0.6168001154011363,0.5452424168272655
0.28,0.13,0.15,0.0,1.0,0.6,0.7131723284735454,0.6919211641861508,0.5943628768386311,0.5311440888677306,0.5531140095259242,0.6167428935783963,0.5311440888677306
0.28,0.13,0.15,0.35,1.6,1.6,0.7233512577071832,0.6829738508388237,0.5954121777750904,0.5296714509635199,0.551901957640155,0.6166621389849545,0.5296714509635199
0.28,0.13,0.15,0.35,1.0,1.0,0.7131723284735454,0.6919478852468662,0.5944361154107083,0.5310240805123461,0.5525357356034019,0.6166232290493736,0.5310240805123461
0.28,0.24,0.15,0.35,0.6,0.6,0.7159705065227585,0.6888298114495699,0.5917473454631175,0.5372550975950725,0.5492824915357265,0.616617050513249,0.5372550975950725
0.28,0.24,0.0,0.15,1.6,1.0,0.7442931669214734,0.6786340269016844,0.593549401327484,0.5263068140830407,0.540143012895275,0.6165852844257915,0.5263068140830407
0.28,0.13,0.0,0.35,1.0,0.6,0.7182667764179623,0.6889061163294387,0.5962779015334302,0.5257241911516941,0.5536160245078915,0.6165582019880833,0.5257241911516941
0.19,0.24,0.0,0.15,0.6,1.6,0.7173693292796636,0.6752266504592765,0.5870122612350799,0.54806160303976,0.5550162186025303,0.616537212523262,0.54806160303976
0.28,0.24,0.35,0.35,1.0,0.6,0.7184343266214254,0.6863946479502783,0.5911065195460418,0.5373221016046618,0.5491733787210679,0.6164861948886949,0.5373221016046618
0.28,0.13,0.0,0.0,1.6,1.0,0.7326032570748531,0.6767635343903948,0.5951203597389505,0.5279596535108037,0.549251495820974,0.6163396601071953,0.5279596535108037
0.19,0.24,0.0,0.0,0.6,1.6,0.7174755770323302,0.6751909097086525,0.5836158152524659,0.5497626726183928,0.555258336603531,0.6162606622430745,0.5497626726183928
0.28,0.24,0.35,0.0,0.6,0.6,0.7059995183322264,0.690886612713671,0.5879005020300881,0.5461013513367547,0.5503877103612902,0.6162551389548062,0.5461013513367547
0.28,0.24,0.35,0.35,0.6,1.0,0.7058692130455548,0.6907357072810755,0.5882243565047125,0.5456115673478638,0.5506632970083281,0.6162208282375069,0.5456115673478638
0.28,0.13,0.15,0.35,0.6,1.6,0.6990469226032997,0.6942962418996163,0.5944563691683963,0.5384182389710722,0.5547575212379213,0.6161950587760612,0.5384182389710722
0.28,0.13,0.0,0.35,1.6,1.6,0.7324865756553632,0.6768299718650935,0.5952416116002849,0.5268103617728918,0.5493215552620828,0.6161380152311433,0.5268103617728918
0.28,0.13,0.0,0.15,1.6,1.0,0.7323481698060057,0.675997762428294,0.5960871969339832,0.5258497859281633,0.5503789094096531,0.6161323649012199,0.5258497859281633
0.28,0.13,0.35,0.0,1.0,1.0,0.7024062440365542,0.693399576267689,0.5921748802669928,0.5391866124533543,0.5531574568769853,0.6160649539803151,0.5391866124533543
0.28,0.24,0.35,0.35,1.6,0.6,0.7283261100416435,0.681221362122619,0.5945626379385996,0.5287649881740187,0.5474060535872364,0.6160562303728235,0.5287649881740187
0.28,0.13,0.15,0.35,1.0,0.6,0.7139762930943262,0.6917464819193095,0.5947967665117487,0.5273789334184127,0.5523574668617072,0.616051188361101,0.5273789334184127
0.28,0.13,0.35,0.35,1.0,1.6,0.7022592396590905,0.692971627076107,0.5932127556405212,0.5387112667391727,0.552940203757431,0.6160190185744645,0.5387112667391727
0.28,0.13,0.15,0.0,0.6,1.0,0.6990469226032997,0.6941753792386052,0.5927320091104616,0.5391870055147937,0.5548127965469253,0.6159908226028171,0.5391870055147937
0.28,0.13,0.35,0.35,1.6,1.0,0.7111421626551879,0.6922393177681454,0.5931113447868854,0.5320906231264919,0.5512662590981138,0.6159699414869648,0.5320906231264919
0.28,0.13,0.15,0.15,1.6,1.0,0.721356453650337,0.6828617644489635,0.5958613762220385,0.5284656368552901,0.5505633959857789,0.6158217254324816,0.5284656368552901
0.28,0.13,0.35,0.0,1.6,0.6,0.7111318308735004,0.6913141092824578,0.5931910365252832,0.5322557863142738,0.5512107644618769,0.6158207054914785,0.5322557863142738
0.28,0.13,0.35,0.15,1.6,0.6,0.7121574654809439,0.6913815585834925,0.5940426629120718,0.5301340627744621,0.551029506295033,0.6157490512092008,0.5301340627744621
0.28,0.13,0.35,0.15,1.0,1.0,0.7025025240801799,0.6931519681969412,0.5942309177930215,0.5364984872295634,0.5523437958935454,0.6157455386386503,0.5364984872295634
0.28,0.13,0.0,0.0,1.6,0.6,0.7336594472934486,0.6758025245863725,0.5961677483219966,0.523230540812987,0.5494425554742486,0.6156605632978106,0.523230540812987
0.28,0.13,0.15,0.15,0.6,1.0,0.6990233061227222,0.6935195538876492,0.5936404304190194,0.53756431767169,0.5543197620010661,0.6156134740204294,0.53756431767169
0.28,0.24,0.35,0.15,0.6,0.6,0.7064039858517851,0.6896592468287304,0.5883239940008984,0.5442444795698542,0.5492196207926349,0.6155702654087806,0.5442444795698542
0.28,0.13,0.0,0.35,1.6,1.0,0.7336594472934486,0.6758025245863725,0.5959147118847495,0.5231590095730226,0.549192781766951,0.6155456950209087,0.5231590095730226
0.19,0.24,0.15,0.0,0.6,1.6,0.7084491786867896,0.6763056680515703,0.5813834960984681,0.5582826600110916,0.5529503150368219,0.6154742635769483,0.5529503150368219
0.28,0.24,0.15,0.35,1.6,0.6,0.736811133332629,0.680795769773113,0.5924276088942554,0.5193743693212162,0.5475960439173363,0.61540098504771,0.5193743693212162
0.28,0.13,0.35,0.35,1.6,0.6,0.7121574654809439,0.6906235985970317,0.5947249076409754,0.5286815892331299,0.5496870065807566,0.6151749135065675,0.5286815892331299
0.19,0.24,0.35,0.0,1.0,1.6,0.7122976438107494,0.6747737670576671,0.5805246448218897,0.556873736669434,0.5513855652042218,0.6151710715127925,0.5513855652042218
0.19,0.24,0.0,0.35,0.6,1.6,0.7190614557228074,0.6735691607717168,0.5856969165286591,0.5420686156829199,0.5552148014021137,0.6151221900216435,0.5420686156829199
0.19,0.24,0.0,0.0,0.6,1.0,0.7190614557228074,0.673481585614848,0.5858316612181091,0.5414183911115849,0.5550315819065987,0.6149649351147897,0.5414183911115849
0.28,0.13,0.0,0.15,1.6,0.6,0.7338132839700738,0.6762530765629927,0.595696501437496,0.5198280642851708,0.548818387800794,0.6148818628113054,0.5198280642851708
0.19,0.24,0.15,0.0,1.0,1.6,0.7197867581685439,0.6718660659226129,0.5834033303151263,0.5467896471087127,0.5515015245380958,0.6146694652106183,0.5467896471087127
0.28,0.13,0.35,0.0,0.6,1.6,0.6965279319187617,0.6913803298927755,0.589494915808805,0.5452234272281063,0.5506399666262666,0.614653314294943,0.5452234272281063
0.28,0.13,0.15,0.15,1.6,0.6,0.7207349228337627,0.6808987180932715,0.5953011993035834,0.5257771382085284,0.5503158333152464,0.6146055623508785,0.5257771382085284
0.28,0.13,0.15,0.35,1.6,1.0,0.7208860614184684,0.6806198601138932,0.594471312150525,0.5263557426634363,0.5506253604735962,0.6145916673639839,0.5263557426634363
0.28,0.13,0.15,0.0,1.6,0.6,0.7207415825742992,0.6806198601138932,0.5943788055563138,0.5263635917820655,0.5505607112834312,0.6145329102620006,0.5263635917820655
0.19,0.24,0.35,0.15,1.0,1.6,0.7126750473455499,0.6747641772224202,0.583385829598088,0.5511211747971044,0.5506977968119804,0.6145288051550286,0.5506977968119804
0.28,0.13,0.15,0.35,1.6,0.6,0.7220818634093064,0.6810087584393744,0.5958964055294964,0.523349538199007,0.5502103255307643,0.6145093782215898,0.523349538199007
0.28,0.13,0.35,0.0,1.0,0.6,0.7025098330637569,0.6910816361953455,0.5929961038376603,0.5345134849424684,0.5512743005674261,0.6144750717213314,0.5345134849424684
0.28,0.13,0.35,0.35,1.0,1.0,0.7025223866188428,0.6910816361953455,0.5930668414027299,0.534402214166008,0.5512688678115569,0.6144683892388967,0.534402214166008
0.19,0.24,0.15,0.15,0.6,1.6,0.7079158272470215,0.6749124375707873,0.5837298862712502,0.5524910601478028,0.5529000462749293,0.6143898515023583,0.5524910601478028
0.28,0.13,0.35,0.15,1.0,0.6,0.7024795054045734,0.6920917493658345,0.592901172367068,0.5336641517576667,0.5505808806717893,0.6143434919133864,0.5336641517576667
0.19,0.24,0.0,0.15,1.0,1.6,0.7237502999626405,0.6693845725003298,0.5893258767364222,0.53878275667069,0.5504013224157738,0.6143289656571712,0.53878275667069
0.28,0.13,0.15,0.35,0.6,1.0,0.7000953980602477,0.6910257751284183,0.5932346090636351,0.5336493551433954,0.5536252791389346,0.6143260833069262,0.5336493551433954
0.28,0.13,0.15,0.0,0.6,0.6,0.700040257893945,0.6909998060489356,0.5931198849930778,0.5339108888032305,0.553503946735423,0.6143149568949224,0.5339108888032305
0.28,0.13,0.15,0.15,0.6,0.6,0.7000348116268165,0.6919116893761771,0.5933238469632885,0.5327112462095449,0.5530937238792202,0.6142150636110095,0.5327112462095449
